case_no,name,description,date_filed,status,link
1:25-cv-00409,American Oversight v. Department of Government Efficiency (D.D.C.),The complaint seeks declaratory and injunctive relief compelling DOGE and OMB to comply with FOIA requests pertaining to communications by Elon Musk and other staff concerning the dismissal of Inspectors General,2025-02-11,,https://www.courtlistener.com/docket/69630062/oversight-v-efficiency/
1:25-cv-00422,Gribbon et al. v. Musk (D.D.C.),"Six individuals sued Elon Musk, the Office of Personnel Management (""OPM""), and the Treasury for sharing personal information. The plaintiffs argue that by sharing their private information, Musk and the agencies violated federal laws.",2025-02-12,,https://www.courtlistener.com/docket/69635650/gribbon-v-musk/
1:25-cv-00457,Center for Taxpayer Rights v. IRS (D.D.C),"Several organizations, on behalf of taxpayers, sued the Internal Revenue Service (""IRS"") and the Treasury, challenging the access to private tax information the agencies gave to the Department of Government Efficiency's (""DOGE"")",2025-02-17,,https://www.courtlistener.com/docket/69646607/center-for-taxpayer-rights-v-internal-revenue-service/
1:25-cv-00511,Citizens For Responsibility and Ethics in Washington (CREW) vs. DOGE Service (D.D.C.),"Plaintiff claims that the United States DOGE Service (USDS) ""has provided no meaningful transparency into its operations or assurances that it is maintaining proper records."" The complaint alleges that Defendants have refused to comply with FOIA requests for records and demands for records preservation under the Federal Records Act (FRA).",2025-02-20,,https://www.courtlistener.com/docket/69658871/citizens-for-responsibility-and-ethics-in-washington-v-us-doge-service/
1:25-cv-00527,"Project on Government Oversight, Inc. v. Trump (D.D.C)","Plaintiff alleges that DOGE has ""run roughshod over record keeping requirements,"" including by misclassifying agency records as covered by the Presidential Records Act (rather than the Freedom of Information Act) and requiring partner agencies to notify DOGE of any oversight requests related to DOGE's work.",2025-02-21,,https://www.courtlistener.com/docket/69661712/project-on-government-oversight-inc-v-trump/
1:25-cv-00596,"American Federation of State, County and Municipal Employees, AFL-CIO v. Social Security Administration (D. Md.)","Three labor unions sued the Social Security Administration (""SSA"") and the Department of Government Efficiency (""DOGE""), challenging the access to sensitive personal data of millions of Americans which SSA gave to DOGE",2025-02-21,,https://www.courtlistener.com/docket/69664313/american-federation-of-state-county-and-municipal-employees-afl-cio-v/
1:25-cv-00612,Center for Biological Diversity v. U.S. Department of Interior (D.D.C.),"Plaintiffs, a nonprofit organization focused on habitat preservation for endangered species, alleges that DOGE and the Department of Interior have violated the Administrative Procedures Act by failing to follow Federal Advisory Committee Act (FACA) requirements",2025-03-03,,https://www.courtlistener.com/docket/69698261/center-for-biological-diversity-v-us-department-of-interior/
1:25-cv-00624,Comans v. Department of Homeland Security (D.D.C.),Fired FEMA CEO Mary Comans Comans filed a complaint alleging that the actions of of the administration violated the Privacy https://www.aol.com/trump-energy-secretary-allowed-23-003504452.html,2025-03-04,,https://www.courtlistener.com/docket/69702272/comans-v-department-of-homeland-security/
1:25-cv-00643,Japanese American Citizens League v. Musk (D.D.C.),"Plaintiffs allege that they are harmed by DOGE's cutting of federal funding and firing of federal employees, including in the work of the National Park Service and historic sites, and they are violating the separation of powers, Appointments Clause and Administrative Procedure Act",2025-03-05,,https://www.courtlistener.com/docket/69706944/japanese-american-citizens-league-v-musk/
1:25-cv-00660,Brehm v. Marocco (D.D.C.),"Ward Brehm, a USADF Board member, filed a lawsuit against Marocco, DOGE, and Trump, seeking to stop his removal and Marocco's appointment and requesting a temporary block.",2025-03-06,,https://www.courtlistener.com/docket/69711562/brehm-v-marocco/
1:25-cv-00677,Centro de Trabajadores Unidos v. Bessent (D.D.C),"Plaintiffs allege Trump administration is illegally looking to share tax information with DHS, ICE, etc.",2025-03-07,,https://www.courtlistener.com/docket/69714586/centro-de-trabajadores-unidos-v-bessent/
1:25-cv-00684,Democracy Forward Foundation v. U.S. Department of the Treasury (D.D.C.),"On Jan. 31 and Feb. 6, 2025, Democracy Forward filed several FOIA requests with the Department of the Treasury, Department of Education, and Small Business Administration, seeking documents from Jan. 20, 2025 onwards following allegations that DOGE staffers and DOGE-affiliated staff ""were influencing important functions and policy decisions at agencies across the Executive Branch."" These agencies acknowledged receipt but sent no further communications. The Plaintiff states these agencies failed to respond within the statutorily mandated time period under FOIA",2025-03-07,,https://www.courtlistener.com/docket/69715653/democracy-forward-foundation-v-us-department-of-the-treasury/
1:25-cv-00804,United States Institute of Peace v. Jackson (D.D.C.),The USIP is suing the DOGE and members of its board for the unlawful seizure and shutdown of the agency following an executive order,2025-03-18,,https://www.courtlistener.com/docket/69754533/united-states-institute-of-peace-v-jackson/
1:25-cv-00935,National Treasury Employees Union v. Donald J. Trump,The union is suing the Donald Trump along with Charles Ezell at the OPM about a recent executive order made by Trump that attempts to dissolve government labor unions at many major agencies like the GSA and FDA by claiming they are intelligence-related.,2025-03-31,,https://www.courtlistener.com/docket/69821136/national-treasury-employees-union-v-donald-j-trump/
1:25-cv-01144,New York et al v. Donald J. Trump (S.D.N.Y.),"Nineteen state attorneys general sued President Donald Trump and Secretary of the Treasury Scott Bessent alleging that individuals affiliated with the Department of Government Efficiency (""DOGE"") were granted unauthorized access to sensitive Treasury Department records in violation of the Administrative Procedure Act, the Privacy Act, and other ethics statutes.",2025-02-07,,https://www.courtlistener.com/docket/69623558/state-of-new-york-v-donald-j-trump/
1:25-cv-01237,"American Federation of Government Employees, et al. v. Office of Personnel Management et al (S.D.N.Y)","The American Federation of Government Employees and other plaintiffs sued the Office of Personnel Management (""OPM""), challenging the agencies' alleging unlawful disclosure of sensitive personal information to Department of Government Efficiency (DOGE) employees.",2025-02-11,,https://www.courtlistener.com/docket/69631573/unknown-case-title/
1:25-cv-02404,"The Intercept Media, Inc. v. United States Department of Government Efficiency (S.D.N.Y.)",Plaintiff is suing DOGE to comply with five FOIA requests made during March 2025,2025-03-24,,https://www.courtlistener.com/docket/69780037/the-intercept-media-inc-v-united-states-department-of-government/
1:25-cv-10276,"American Federation of Gov't Employees, AFL-CIO v. Ezell (D. Mass)","Multiple labor unions sued the Office of Personnel Management (""OPM""), challenging the legality of the ""deferred resignation"" offer program.",2025-02-04,,https://www.courtlistener.com/docket/69610323/american-federation-of-government-employees-afl-cio-v-ezell/
1:25-cv-10601,State of New York v. McMahon (D.Mass),Twenty states and the District of Columbia requested the court to halt the announced Department of Education and the Trump administration's planned Reduction in Force (RIF) of half of the remaining employees and closure of the DOE.,2025-03-13,,https://www.courtlistener.com/docket/69732750/state-of-new-york-v-mcmahon/
3:25-cv-01780,"American Federation Of Government Employees, AFL-CIO v. OPM and Ezell (N.D. Cal.)",A lawsuit by several labor unions challenging the validity of the OPM terminating federal employees en masse and demand updates to the five points email.,2025-02-19,,https://www.courtlistener.com/docket/69655364/american-federation-of-government-employees-afl-cio-v-united-states/
8:25-cv-00430,American Federation of Teachers et al v. Bessent et al (D. Md.),"The American Federation of Teachers and other plaintiffs sued the Treasury, Office of Personnel Management (""OPM""), and the Department of Education (""DOE""), challenging the agencies' disclosure of sensitive personal information to Department of Government Efficiency (""DOGE"") employees.",2025-02-10,,https://www.courtlistener.com/docket/69627648/american-federation-of-teachers-v-scott-bessent/
8:25-cv-00462,J. Doe 1-26 v. Musk (D. Md),"Twenty-six current and former employees of the U.S. Agency for International Development (""USAID"") sued Elon Musk and the Department of Government Efficiency (""DOGE"") alleging that Musk's appointment to his role as head of DOGE violates the Constitution's Appointments Clause",2025-02-13,,https://www.courtlistener.com/docket/69636722/does-1-26-v-musk/
1:25-cv-00858,Democracy Forward Foundation v. Office of Management and Budget,Democracy Forward is suing about DOGE not responding to FOIA requests,2025-03-23,,https://www.courtlistener.com/docket/69776370/democracy-forward-foundation-v-office-of-management-and-budget/
